best_lb.0,time
310832.0,96
310763.0,96.1
310696.0,96.2
310629.0,96.3
310566.0,96.4
310505.0,96.5
310452.0,96.6
310400.0,96.7
310350.0,96.8
310318.0,96.9
310288.0,97
310263.0,97.1
310263.0,97.2
310274.0,97.3
310299.0,97.4
310331.0,97.5
310381.0,97.6
310433.0,97.7
310486.0,97.8
310547.0,97.9
310610.0,98
310677.0,98.1
310744.0,98.2
310813.0,98.3
310883.0,98.4
310957.0,98.5
311029.0,98.6
311114.0,98.7
311203.0,98.8
311296.0,98.9
311391.0,99
311486.0,99.1
311586.0,99.2
311692.0,99.3
311801.0,99.4
311912.0,99.5
312024.0,99.6
312138.0,99.7
312253.0,99.8
312372.0,99.9
312499.0,100
312626.0,100.1
312753.0,100.2
312880.0,100.3
313008.0,100.4
313137.0,100.5
313266.0,100.6
313399.0,100.7
313535.0,100.8
313672.0,100.9
313812.0,101
313955.0,101.1
314114.0,101.2
314273.0,101.3
314432.0,101.4
314595.0,101.5
314764.0,101.6
314933.0,101.7
315104.0,101.8
315278.0,101.9
315457.0,102
315640.0,102.1
315824.0,102.2
316008.0,102.3
316197.0,102.4
316391.0,102.5
316588.0,102.6
316788.0,102.7
316991.0,102.8
317196.0,102.9
317405.0,103
317615.0,103.1
317825.0,103.2
318038.0,103.3
318253.0,103.4
318470.0,103.5
318687.0,103.6
318912.0,103.7
319138.0,103.8
319364.0,103.9
319592.0,104
319822.0,104.1
320057.0,104.2
320295.0,104.3
320535.0,104.4
320781.0,104.5
321032.0,104.6
321284.0,104.7
321537.0,104.8
321794.0,104.9
322053.0,105
322317.0,105.1
322586.0,105.2
322859.0,105.3
323134.0,105.4
323409.0,105.5
323691.0,105.6
323974.0,105.7
324260.0,105.8
324344.0,105.9
324058.0,106
323775.0,106.1
323493.0,106.2
323218.0,106.3
322943.0,106.4
322670.0,106.5
322401.0,106.6
322137.0,106.7
321878.0,106.8
321621.0,106.9
321368.0,107
321116.0,107.1
320865.0,107.2
320620.0,107.3
320380.0,107.4
320142.0,107.5
319907.0,107.6
319677.0,107.7
319449.0,107.8
319223.0,107.9
318997.0,108
318772.0,108.1
318603.0,108.2
318489.0,108.3
318272.0,108.4
318055.0,108.5
317840.0,108.6
317627.0,108.7
317416.0,108.8
317206.0,108.9
316996.0,109
316787.0,109.1
316581.0,109.2
